80499  Python           10.6  00:10.94 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74172+     4264     124         39          180535+     3838705     83026+      5894    1098+      11.7  397564785  274226503  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           11.0  00:11.06 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74178+     4264     124         39          183115+     3838705     84452+      5894    1124+      12.2  429298970  291903057  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           11.8  00:11.19 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74186+     4264     124         39          185921+     3838705     85926+      5894    1146+      12.8  448526697  306461429  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.4   00:11.29 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74190+     4264     124         39          188457+     3838705     87346+      5894    1162+      10.1  379943801  265869879  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.0  00:11.40 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74193+     4264     124         39          190856+     3838705     88703+      5894    1181+      10.9  397463102  277038944  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.9  00:11.52 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74200+     4264     124         39          193331+     3838705     90068+      5894    1202+      11.8  363824731  260681231  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.4   00:11.63 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74206+     4264     124         39          195655+     3838705     91359+      5894    1220+      10.3  343036454  240622450  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           7.0   00:11.71 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74208+     4264     124         39          197613+     3838705     92467+      5894    1237+      7.7   286533853  209041918  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           7.1   00:11.79 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74209+     4264     124         39          199575+     3838705     93588+      5894    1237       7.1   285514971  203303247  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           8.7   00:11.89 38/1   12    66     168M+  0B     0B     80499 94240 running  *0[1]             0.00000  0.00000    501 74212+     4264     124         39          202270+     3838705     95104+      5894    1260+      9.8   362971245  255734198  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           11.6  00:12.02 38/1   12    66     168M+  0B     0B     80499 94240 running  *0[1]             0.00000  0.00000    501 74213+     4264     124         39          205284+     3838705     96744+      5894    1287+      12.9  451909757  313054850  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           11.3  00:12.14 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74214+     4264     124         39          208298+     3838705     98359+      5894    1315+      12.6  443104092  311307770  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.5   00:12.25 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74214      4264     124         39          210965+     3838705     99792+      5894    1324+      10.0  412108763  285517513  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.2   00:12.35 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74218+     4264     124         39          213269+     3838705     101011+     5894    1336+      9.7   319983182  231018703  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           7.4   00:12.43 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74219+     4264     124         39          215250+     3838705     102197+     5894    1344+      7.7   251556065  189885613  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.6   00:12.54 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74219      4264     124         39          217507+     3838705     103442+     5894    1363+      10.5  325251562  230208413  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           11.3  00:12.66 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74221+     4264     124         39          219806+     3838705     104635+     5894    1379+      12.0  378227800  259904088  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           5.9   00:12.73 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74221      4264     124         39          222077+     3838705     105983+     5894    1379       5.9   325529653  235348545  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.8  00:12.85 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74221      4264     124         39          224240+     3838705     107181+     5894    1399+      11.7  344270946  243838645  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.7  00:12.97 38/1   12    66     168M+  0B     0B     80499 94240 running  *0[1]             0.00000  0.00000    501 74222+     4264     124         39          226878+     3838705     108581+     5894    1417+      11.5  399423900  279613199  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           11.3  00:13.10 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74222      4264     124         39          229640+     3838705     110083+     5894    1432+      11.9  399547222  283736856  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           8.7   00:13.19 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74222      4264     124         39          231831+     3838705     111262+     5894    1453+      9.6   317850198  224541443  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           8.1   00:13.28 38/1   12    66     168M   0B     0B     80499 94240 running  *0[1]             0.00000  0.00000    501 74222      4264     124         39          233791+     3838705     112340+     5894    1463+      8.5   285221131  204765085  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
